index,UrlLocal,UrlYoutube,gameAwayTeam,gameDate,gameHomeTeam,gameScore
245,spain_laliga/2015-2016/2015-11-21 - 20-15 Real Madrid 0 - 4 Barcelona/,,Barcelona,21/11/2015 - 20:15,Real Madrid,0 - 4
246,spain_laliga/2015-2016/2015-11-29 - 18-00 Eibar 0 - 2 Real Madrid/,,Real Madrid,29/11/2015 - 18:00,Eibar,0 - 2
247,spain_laliga/2015-2016/2016-01-24 - 22-30 Betis 1 - 1 Real Madrid/,,Real Madrid,24/01/2016 - 22:30,Betis,1 - 1
248,spain_laliga/2015-2016/2016-01-31 - 22-30 Real Madrid 6 - 0 Espanyol/,,Espanyol,31/01/2016 - 22:30,Real Madrid,6 - 0
249,spain_laliga/2015-2016/2016-02-07 - 22-30 Granada CF 1 - 2 Real Madrid/,,Real Madrid,07/02/2016 - 22:30,Granada CF,1 - 2
250,spain_laliga/2015-2016/2016-02-21 - 18-00 Malaga 1 - 1 Real Madrid/,,Real Madrid,21/02/2016 - 18:00,Malaga,1 - 1
251,spain_laliga/2015-2016/2016-03-05 - 18-00 Real Madrid 7 - 1 Celta Vigo/,,Celta Vigo,05/03/2016 - 18:00,Real Madrid,7 - 1
252,spain_laliga/2015-2016/2016-03-13 - 22-30 Las Palmas 1 - 2 Real Madrid/,,Real Madrid,13/03/2016 - 22:30,Las Palmas,1 - 2
253,spain_laliga/2015-2016/2016-04-02 - 21-30 Barcelona 1 - 2 Real Madrid/,,Real Madrid,02/04/2016 - 21:30,Barcelona,1 - 2
254,spain_laliga/2015-2016/2016-04-09 - 17-00 Real Madrid 4 - 0 Eibar/,,Eibar,09/04/2016 - 17:00,Real Madrid,4 - 0
255,spain_laliga/2015-2016/2016-04-16 - 17-00 Getafe 1 - 5 Real Madrid/,,Real Madrid,16/04/2016 - 17:00,Getafe,1 - 5
256,spain_laliga/2015-2016/2016-04-20 - 23-00 Real Madrid 3 - 0 Villarreal/,,Villarreal,20/04/2016 - 23:00,Real Madrid,3 - 0
257,spain_laliga/2015-2016/2016-04-30 - 17-00 Real Sociedad 0 - 1 Real Madrid/,,Real Madrid,30/04/2016 - 17:00,Real Sociedad,0 - 1
258,spain_laliga/2016-2017/2016-08-20 - 19-15 Barcelona 6 - 2 Betis/,,Betis,20/08/2016 - 19:15,Barcelona,6 - 2
259,spain_laliga/2016-2017/2016-08-27 - 21-15 Real Madrid 2 - 1 Celta Vigo/,,Celta Vigo,27/08/2016 - 21:15,Real Madrid,2 - 1
260,spain_laliga/2016-2017/2016-08-28 - 21-15 Ath Bilbao 0 - 1 Barcelona/,,Barcelona,28/08/2016 - 21:15,Ath Bilbao,0 - 1
261,spain_laliga/2016-2017/2016-09-18 - 21-45 Espanyol 0 - 2 Real Madrid/,,Real Madrid,18/09/2016 - 21:45,Espanyol,0 - 2
262,spain_laliga/2016-2017/2016-09-21 - 23-00 Barcelona 1 - 1 Atl. Madrid/,,Atl. Madrid,21/09/2016 - 23:00,Barcelona,1 - 1
263,spain_laliga/2016-2017/2016-10-02 - 17-15 Real Madrid 1 - 1 Eibar/,,Eibar,02/10/2016 - 17:15,Real Madrid,1 - 1
264,spain_laliga/2016-2017/2016-10-15 - 21-45 Betis 1 - 6 Real Madrid/,,Real Madrid,15/10/2016 - 21:45,Betis,1 - 6
265,spain_laliga/2016-2017/2016-10-22 - 17-15 Valencia 2 - 3 Barcelona/,,Barcelona,22/10/2016 - 17:15,Valencia,2 - 3
266,spain_laliga/2016-2017/2016-10-29 - 17-15 Alaves 1 - 4 Real Madrid/,,Real Madrid,29/10/2016 - 17:15,Alaves,1 - 4
267,spain_laliga/2016-2017/2016-10-29 - 21-45 Barcelona 1 - 0 Granada CF/,,Granada CF,29/10/2016 - 21:45,Barcelona,1 - 0
268,spain_laliga/2016-2017/2016-11-06 - 14-00 Real Madrid 3 - 0 Leganes/,,Leganes,06/11/2016 - 14:00,Real Madrid,3 - 0
269,spain_laliga/2016-2017/2016-11-19 - 18-15 Barcelona 0 - 0 Malaga/,,Malaga,19/11/2016 - 18:15,Barcelona,0 - 0
270,spain_laliga/2016-2017/2016-11-19 - 22-45 Atl. Madrid 0 - 3 Real Madrid/,,Real Madrid,19/11/2016 - 22:45,Atl. Madrid,0 - 3
271,spain_laliga/2016-2017/2016-11-27 - 22-45 Real Sociedad 1 - 1 Barcelona/,,Barcelona,27/11/2016 - 22:45,Real Sociedad,1 - 1
272,spain_laliga/2016-2017/2016-12-03 - 18-15 Barcelona 1 - 1 Real Madrid/,,Real Madrid,03/12/2016 - 18:15,Barcelona,1 - 1
273,spain_laliga/2016-2017/2016-12-10 - 22-45 Real Madrid 3 - 2 Dep. La Coruna/,,Dep. La Coruna,10/12/2016 - 22:45,Real Madrid,3 - 2
274,spain_laliga/2016-2017/2017-01-08 - 22-45 Villarreal 1 - 1 Barcelona/,,Barcelona,08/01/2017 - 22:45,Villarreal,1 - 1
275,spain_laliga/2016-2017/2017-01-14 - 18-15 Barcelona 5 - 0 Las Palmas/,,Las Palmas,14/01/2017 - 18:15,Barcelona,5 - 0
276,spain_laliga/2016-2017/2017-01-15 - 22-45 Sevilla 2 - 1 Real Madrid/,,Real Madrid,15/01/2017 - 22:45,Sevilla,2 - 1
277,spain_laliga/2016-2017/2017-01-29 - 14-00 Betis 1 - 1 Barcelona/,,Barcelona,29/01/2017 - 14:00,Betis,1 - 1
278,spain_laliga/2016-2017/2017-01-29 - 22-45 Real Madrid 3 - 0 Real Sociedad/,,Real Sociedad,29/01/2017 - 22:45,Real Madrid,3 - 0
279,spain_laliga/2016-2017/2017-02-19 - 22-45 Barcelona 2 - 1 Leganes/,,Leganes,19/02/2017 - 22:45,Barcelona,2 - 1
280,spain_laliga/2016-2017/2017-02-26 - 18-15 Atl. Madrid 1 - 2 Barcelona/,,Barcelona,26/02/2017 - 18:15,Atl. Madrid,1 - 2
281,spain_laliga/2016-2017/2017-02-26 - 22-45 Villarreal 2 - 3 Real Madrid/,,Real Madrid,26/02/2017 - 22:45,Villarreal,2 - 3
282,spain_laliga/2016-2017/2017-03-01 - 21-30 Barcelona 6 - 1 Gijon/,,Gijon,01/03/2017 - 21:30,Barcelona,6 - 1
283,spain_laliga/2016-2017/2017-03-01 - 23-30 Real Madrid 3 - 3 Las Palmas/,,Las Palmas,01/03/2017 - 23:30,Real Madrid,3 - 3
284,spain_laliga/2016-2017/2017-03-04 - 18-15 Eibar 1 - 4 Real Madrid/,,Real Madrid,04/03/2017 - 18:15,Eibar,1 - 4
285,spain_laliga/2016-2017/2017-03-04 - 22-45 Barcelona 5 - 0 Celta Vigo/,,Celta Vigo,04/03/2017 - 22:45,Barcelona,5 - 0
286,spain_laliga/2016-2017/2017-03-12 - 18-15 Dep. La Coruna 2 - 1 Barcelona/,,Barcelona,12/03/2017 - 18:15,Dep. La Coruna,2 - 1
287,spain_laliga/2016-2017/2017-03-18 - 18-15 Ath Bilbao 1 - 2 Real Madrid/,,Real Madrid,18/03/2017 - 18:15,Ath Bilbao,1 - 2
288,spain_laliga/2016-2017/2017-03-19 - 22-45 Barcelona 4 - 2 Valencia/,,Valencia,19/03/2017 - 22:45,Barcelona,4 - 2
289,spain_laliga/2016-2017/2017-04-02 - 21-45 Granada CF 1 - 4 Barcelona/,,Barcelona,02/04/2017 - 21:45,Granada CF,1 - 4
290,spain_laliga/2016-2017/2017-04-05 - 22-30 Leganes 2 - 4 Real Madrid/,,Real Madrid,05/04/2017 - 22:30,Leganes,2 - 4
291,spain_laliga/2016-2017/2017-04-15 - 17-15 Gijon 2 - 3 Real Madrid/,,Real Madrid,15/04/2017 - 17:15,Gijon,2 - 3
292,spain_laliga/2016-2017/2017-04-15 - 21-45 Barcelona 3 - 2 Real Sociedad/,,Real Sociedad,15/04/2017 - 21:45,Barcelona,3 - 2
293,spain_laliga/2016-2017/2017-04-26 - 22-30 Dep. La Coruna 2 - 6 Real Madrid/,,Real Madrid,26/04/2017 - 22:30,Dep. La Coruna,2 - 6
294,spain_laliga/2016-2017/2017-05-06 - 19-30 Barcelona 4 - 1 Villarreal/,,Villarreal,06/05/2017 - 19:30,Barcelona,4 - 1
295,spain_laliga/2016-2017/2017-05-06 - 21-45 Granada CF 0 - 4 Real Madrid/,,Real Madrid,06/05/2017 - 21:45,Granada CF,0 - 4
296,spain_laliga/2016-2017/2017-05-14 - 21-00 Real Madrid 4 - 1 Sevilla/,,Sevilla,14/05/2017 - 21:00,Real Madrid,4 - 1
297,spain_laliga/2016-2017/2017-05-17 - 22-00 Celta Vigo 1 - 4 Real Madrid/,,Real Madrid,17/05/2017 - 22:00,Celta Vigo,1 - 4
298,spain_laliga/2016-2017/2017-05-21 - 21-00 Barcelona 4 - 2 Eibar/,,Eibar,21/05/2017 - 21:00,Barcelona,4 - 2
299,spain_laliga/2016-2017/2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid/,,Real Madrid,21/05/2017 - 21:00,Malaga,0 - 2
300,england_epl/2014-2015/2015-04-11 - 19-30 Burnley 0 - 1 Arsenal/,,Arsenal,11/04/2015 - 19:30,Burnley,0 - 1
301,england_epl/2015-2016/2015-08-30 - 18-00 Swansea 2 - 1 Manchester United/,,Manchester United,30/08/2015 - 18:00,Swansea,2 - 1
302,england_epl/2015-2016/2015-09-26 - 17-00 Leicester 2 - 5 Arsenal/,,Arsenal,26/09/2015 - 17:00,Leicester,2 - 5
303,england_epl/2015-2016/2015-09-26 - 17-00 Manchester United 3 - 0 Sunderland/,,Sunderland,26/09/2015 - 17:00,Manchester United,3 - 0
304,england_epl/2015-2016/2015-10-03 - 17-00 Manchester City 6 - 1 Newcastle Utd/,,Newcastle Utd,03/10/2015 - 17:00,Manchester City,6 - 1
305,england_epl/2015-2016/2015-12-26 - 18-00 Chelsea 2 - 2 Watford/,,Watford,26/12/2015 - 18:00,Chelsea,2 - 2
306,england_epl/2015-2016/2016-01-23 - 20-30 West Ham 2 - 2 Manchester City/,,Manchester City,23/01/2016 - 20:30,West Ham,2 - 2
307,england_epl/2015-2016/2016-01-24 - 19-00 Arsenal 0 - 1 Chelsea/,,Chelsea,24/01/2016 - 19:00,Arsenal,0 - 1
308,england_epl/2015-2016/2016-02-13 - 20-30 Chelsea 5 - 1 Newcastle Utd/,,Newcastle Utd,13/02/2016 - 20:30,Chelsea,5 - 1
309,england_epl/2015-2016/2016-02-27 - 18-00 Southampton 1 - 2 Chelsea/,,Chelsea,27/02/2016 - 18:00,Southampton,1 - 2
310,england_epl/2015-2016/2016-03-05 - 18-00 Manchester City 4 - 0 Aston Villa/,,Aston Villa,05/03/2016 - 18:00,Manchester City,4 - 0
311,england_epl/2015-2016/2016-03-20 - 19-00 Manchester City 0 - 1 Manchester United/,,Manchester United,20/03/2016 - 19:00,Manchester City,0 - 1
312,england_epl/2015-2016/2016-04-23 - 17-00 Bournemouth 1 - 4 Chelsea/,,Chelsea,23/04/2016 - 17:00,Bournemouth,1 - 4
313,england_epl/2016-2017/2016-10-01 - 14-30 Swansea 1 - 2 Liverpool/,,Liverpool,01/10/2016 - 14:30,Swansea,1 - 2
314,england_epl/2016-2017/2016-10-02 - 18-30 Burnley 0 - 1 Arsenal/,,Arsenal,02/10/2016 - 18:30,Burnley,0 - 1
315,england_epl/2016-2017/2016-10-22 - 17-00 Arsenal 0 - 0 Middlesbrough/,,Middlesbrough,22/10/2016 - 17:00,Arsenal,0 - 0
316,england_epl/2016-2017/2016-10-29 - 19-30 Crystal Palace 2 - 4 Liverpool/,,Liverpool,29/10/2016 - 19:30,Crystal Palace,2 - 4
317,england_epl/2016-2017/2016-12-04 - 16-30 Bournemouth 4 - 3 Liverpool/,,Liverpool,04/12/2016 - 16:30,Bournemouth,4 - 3
318,england_epl/2016-2017/2017-04-09 - 18-00 Everton 4 - 2 Leicester/,,Leicester,09/04/2017 - 18:00,Everton,4 - 2
319,europe_uefa-champions-league/2014-2015/2014-11-04 - 22-45 Real Madrid 1 - 0 Liverpool/,,Liverpool,04/11/2014 - 22:45,Real Madrid,1 - 0
320,europe_uefa-champions-league/2014-2015/2014-11-05 - 22-45 Ajax 0 - 2 Barcelona/,,Barcelona,05/11/2014 - 22:45,Ajax,0 - 2
321,europe_uefa-champions-league/2014-2015/2014-11-05 - 22-45 Manchester City 1 - 2 CSKA Moscow/,,CSKA Moscow,05/11/2014 - 22:45,Manchester City,1 - 2
322,europe_uefa-champions-league/2014-2015/2014-12-09 - 22-45 Galatasaray 1 - 4 Arsenal/,,Arsenal,09/12/2014 - 22:45,Galatasaray,1 - 4
323,europe_uefa-champions-league/2014-2015/2014-12-09 - 22-45 Real Madrid 4 - 0 Ludogorets/,,Ludogorets,09/12/2014 - 22:45,Real Madrid,4 - 0
324,europe_uefa-champions-league/2014-2015/2015-03-11 - 22-45 Bayern Munich 7 - 0 Shakhtar Donetsk/,,Shakhtar Donetsk,11/03/2015 - 22:45,Bayern Munich,7 - 0
325,europe_uefa-champions-league/2014-2015/2015-04-15 - 21-45 Paris SG 1 - 3 Barcelona/,,Barcelona,15/04/2015 - 21:45,Paris SG,1 - 3
326,europe_uefa-champions-league/2014-2015/2015-04-21 - 21-45 Barcelona 2 - 0 Paris SG/,,Paris SG,21/04/2015 - 21:45,Barcelona,2 - 0
327,europe_uefa-champions-league/2015-2016/2015-09-15 - 21-45 PSV 2 - 1 Manchester United/,,Manchester United,15/09/2015 - 21:45,PSV,2 - 1
328,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 Chelsea 4 - 0 Maccabi Tel Aviv/,,Maccabi Tel Aviv,16/09/2015 - 21:45,Chelsea,4 - 0
329,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 Dyn. Kiev 2 - 2 FC Porto/,,FC Porto,16/09/2015 - 21:45,Dyn. Kiev,2 - 2
330,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 Olympiakos Piraeus 0 - 3 Bayern Munich/,,Bayern Munich,16/09/2015 - 21:45,Olympiakos Piraeus,0 - 3
331,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Barcelona 2 - 1 Bayer Leverkusen/,,Bayer Leverkusen,29/09/2015 - 21:45,Barcelona,2 - 1
332,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 FC Porto 2 - 1 Chelsea/,,Chelsea,29/09/2015 - 21:45,FC Porto,2 - 1
333,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Benfica 2 - 1 Galatasaray/,,Galatasaray,03/11/2015 - 22:45,Benfica,2 - 1
334,europe_uefa-champions-league/2015-2016/2015-11-04 - 22-45 Barcelona 3 - 0 BATE/,,BATE,04/11/2015 - 22:45,Barcelona,3 - 0
335,europe_uefa-champions-league/2015-2016/2015-11-24 - 20-00 BATE 1 - 1 Bayer Leverkusen/,,Bayer Leverkusen,24/11/2015 - 20:00,BATE,1 - 1
336,europe_uefa-champions-league/2015-2016/2015-11-25 - 22-45 Juventus 1 - 0 Manchester City/,,Manchester City,25/11/2015 - 22:45,Juventus,1 - 0
337,europe_uefa-champions-league/2016-2017/2016-09-28 - 21-45 Napoli 4 - 2 Benfica/,,Benfica,28/09/2016 - 21:45,Napoli,4 - 2
338,europe_uefa-champions-league/2016-2017/2016-10-19 - 21-45 Paris SG 3 - 0 Basel/,,Basel,19/10/2016 - 21:45,Paris SG,3 - 0
339,france_ligue-1/2015-2016/2015-09-19 - 18-30 Reims 1 - 1 Paris SG/,,Paris SG,19/09/2015 - 18:30,Reims,1 - 1
340,france_ligue-1/2016-2017/2016-08-21 - 21-45 Paris SG 3 - 0 Metz/,,Metz,21/08/2016 - 21:45,Paris SG,3 - 0
341,france_ligue-1/2016-2017/2016-09-09 - 21-45 Paris SG 1 - 1 St Etienne/,,St Etienne,09/09/2016 - 21:45,Paris SG,1 - 1
342,france_ligue-1/2016-2017/2016-09-20 - 22-00 Paris SG 3 - 0 Dijon/,,Dijon,20/09/2016 - 22:00,Paris SG,3 - 0
343,france_ligue-1/2016-2017/2016-10-23 - 21-45 Paris SG 0 - 0 Marseille/,,Marseille,23/10/2016 - 21:45,Paris SG,0 - 0
344,france_ligue-1/2016-2017/2016-12-03 - 19-00 Montpellier 3 - 0 Paris SG/,,Paris SG,03/12/2016 - 19:00,Montpellier,3 - 0
345,france_ligue-1/2016-2017/2017-03-04 - 19-00 Paris SG 1 - 0 Nancy/,,Nancy,04/03/2017 - 19:00,Paris SG,1 - 0
346,france_ligue-1/2016-2017/2017-04-09 - 22-00 Paris SG 4 - 0 Guingamp/,,Guingamp,09/04/2017 - 22:00,Paris SG,4 - 0
347,france_ligue-1/2016-2017/2017-05-14 - 22-00 St Etienne 0 - 5 Paris SG/,,Paris SG,14/05/2017 - 22:00,St Etienne,0 - 5
348,germany_bundesliga/2014-2015/2015-04-25 - 19-30 Bayern Munich 1 - 0 Hertha Berlin/,,Hertha Berlin,25/04/2015 - 19:30,Bayern Munich,1 - 0
349,germany_bundesliga/2014-2015/2015-05-02 - 16-30 Hoffenheim 1 - 1 Dortmund/,,Dortmund,02/05/2015 - 16:30,Hoffenheim,1 - 1
350,germany_bundesliga/2015-2016/2015-09-20 - 18-30 Dortmund 3 - 0 Bayer Leverkusen/,,Bayer Leverkusen,20/09/2015 - 18:30,Dortmund,3 - 0
351,germany_bundesliga/2015-2016/2015-10-04 - 18-30 Bayern Munich 5 - 1 Dortmund/,,Dortmund,04/10/2015 - 18:30,Bayern Munich,5 - 1
352,germany_bundesliga/2015-2016/2015-11-07 - 17-30 Bayern Munich 4 - 0 VfB Stuttgart/,,VfB Stuttgart,07/11/2015 - 17:30,Bayern Munich,4 - 0
353,germany_bundesliga/2015-2016/2016-04-23 - 16-30 Hertha Berlin 0 - 2 Bayern Munich/,,Bayern Munich,23/04/2016 - 16:30,Hertha Berlin,0 - 2
354,germany_bundesliga/2016-2017/2016-12-03 - 17-30 Dortmund 4 - 1 B. Monchengladbach/,,B. Monchengladbach,03/12/2016 - 17:30,Dortmund,4 - 1
355,germany_bundesliga/2016-2017/2017-02-25 - 17-30 SC Freiburg 0 - 3 Dortmund/,,Dortmund,25/02/2017 - 17:30,SC Freiburg,0 - 3
356,italy_serie-a/2014-2015/2015-04-25 - 19-00 Udinese 2 - 1 AC Milan/,,AC Milan,25/04/2015 - 19:00,Udinese,2 - 1
357,italy_serie-a/2014-2015/2015-05-10 - 21-45 Lazio 1 - 2 Inter/,,Inter,10/05/2015 - 21:45,Lazio,1 - 2
358,italy_serie-a/2014-2015/2015-05-17 - 13-30 Sassuolo 3 - 2 AC Milan/,,AC Milan,17/05/2015 - 13:30,Sassuolo,3 - 2
359,italy_serie-a/2015-2016/2015-09-26 - 21-45 Napoli 2 - 1 Juventus/,,Juventus,26/09/2015 - 21:45,Napoli,2 - 1
360,italy_serie-a/2016-2017/2016-08-20 - 19-00 AS Roma 4 - 0 Udinese/,,Udinese,20/08/2016 - 19:00,AS Roma,4 - 0
361,italy_serie-a/2016-2017/2016-09-18 - 21-45 Fiorentina 1 - 0 AS Roma/,,AS Roma,18/09/2016 - 21:45,Fiorentina,1 - 0
362,italy_serie-a/2016-2017/2016-09-21 - 21-45 Genoa 0 - 0 Napoli/,,Napoli,21/09/2016 - 21:45,Genoa,0 - 0
363,italy_serie-a/2016-2017/2016-10-02 - 19-00 AC Milan 4 - 3 Sassuolo/,,Sassuolo,02/10/2016 - 19:00,AC Milan,4 - 3
364,italy_serie-a/2016-2017/2016-10-29 - 21-45 Juventus 2 - 1 Napoli/,,Napoli,29/10/2016 - 21:45,Juventus,2 - 1
365,italy_serie-a/2016-2017/2016-11-05 - 22-45 Napoli 1 - 1 Lazio/,,Lazio,05/11/2016 - 22:45,Napoli,1 - 1
366,italy_serie-a/2016-2017/2016-12-12 - 23-00 AS Roma 1 - 0 AC Milan/,,AC Milan,12/12/2016 - 23:00,AS Roma,1 - 0
367,italy_serie-a/2016-2017/2017-01-22 - 22-45 AS Roma 1 - 0 Cagliari/,,Cagliari,22/01/2017 - 22:45,AS Roma,1 - 0
