index,UrlLocal,UrlYoutube,gameAwayTeam,gameDate,gameHomeTeam,gameScore
368,italy_serie-a/2016-2017/2017-02-19 - 17-00 Chievo 1 - 3 Napoli/,,Napoli,19/02/2017 - 17:00,Chievo,1 - 3
369,italy_serie-a/2016-2017/2017-03-12 - 22-45 Palermo 0 - 3 AS Roma/,,AS Roma,12/03/2017 - 22:45,Palermo,0 - 3
370,italy_serie-a/2016-2017/2017-04-02 - 21-45 Napoli 1 - 1 Juventus/,,Juventus,02/04/2017 - 21:45,Napoli,1 - 1
371,italy_serie-a/2016-2017/2017-04-15 - 21-45 Napoli 3 - 0 Udinese/,,Udinese,15/04/2017 - 21:45,Napoli,3 - 0
372,italy_serie-a/2016-2017/2017-04-30 - 13-30 AS Roma 1 - 3 Lazio/,,Lazio,30/04/2017 - 13:30,AS Roma,1 - 3
373,italy_serie-a/2016-2017/2017-05-06 - 19-00 Napoli 3 - 1 Cagliari/,,Cagliari,06/05/2017 - 19:00,Napoli,3 - 1
374,spain_laliga/2014-2015/2015-04-11 - 17-00 Real Madrid 3 - 0 Eibar/,,Eibar,11/04/2015 - 17:00,Real Madrid,3 - 0
375,spain_laliga/2014-2015/2015-04-11 - 21-00 Sevilla 2 - 2 Barcelona/,,Barcelona,11/04/2015 - 21:00,Sevilla,2 - 2
376,spain_laliga/2014-2015/2015-04-28 - 21-00 Barcelona 6 - 0 Getafe/,,Getafe,28/04/2015 - 21:00,Barcelona,6 - 0
377,spain_laliga/2014-2015/2015-05-02 - 19-00 Atl. Madrid 0 - 0 Ath Bilbao/,,Ath Bilbao,02/05/2015 - 19:00,Atl. Madrid,0 - 0
378,spain_laliga/2014-2015/2015-05-02 - 21-00 Sevilla 2 - 3 Real Madrid/,,Real Madrid,02/05/2015 - 21:00,Sevilla,2 - 3
379,spain_laliga/2014-2015/2015-05-23 - 21-30 Real Madrid 7 - 3 Getafe/,,Getafe,23/05/2015 - 21:30,Real Madrid,7 - 3
380,spain_laliga/2015-2016/2015-09-12 - 21-30 Atl. Madrid 1 - 2 Barcelona/,,Barcelona,12/09/2015 - 21:30,Atl. Madrid,1 - 2
381,spain_laliga/2015-2016/2015-09-26 - 17-00 Barcelona 2 - 1 Las Palmas/,,Las Palmas,26/09/2015 - 17:00,Barcelona,2 - 1
382,spain_laliga/2015-2016/2015-10-24 - 17-00 Celta Vigo 1 - 3 Real Madrid/,,Real Madrid,24/10/2015 - 17:00,Celta Vigo,1 - 3
383,spain_laliga/2015-2016/2015-12-13 - 22-30 Villarreal 1 - 0 Real Madrid/,,Real Madrid,13/12/2015 - 22:30,Villarreal,1 - 0
384,spain_laliga/2015-2016/2015-12-20 - 18-00 Real Madrid 1 - 0 Rayo Vallecano/,,Rayo Vallecano,20/12/2015 - 18:00,Real Madrid,10 - 2
385,spain_laliga/2015-2016/2016-01-03 - 22-30 Valencia 2 - 2 Real Madrid/,,Real Madrid,03/01/2016 - 22:30,Valencia,2 - 2
386,spain_laliga/2015-2016/2016-01-09 - 22-30 Real Madrid 5 - 0 Dep. La Coruna/,,Dep. La Coruna,09/01/2016 - 22:30,Real Madrid,5 - 0
387,spain_laliga/2015-2016/2016-02-13 - 18-00 Real Madrid 4 - 2 Ath Bilbao/,,Ath Bilbao,13/02/2016 - 18:00,Real Madrid,4 - 2
388,spain_laliga/2015-2016/2016-03-20 - 22-30 Real Madrid 4 - 0 Sevilla/,,Sevilla,20/03/2016 - 22:30,Real Madrid,4 - 0
389,spain_laliga/2016-2017/2016-08-21 - 21-15 Real Sociedad 0 - 3 Real Madrid/,,Real Madrid,21/08/2016 - 21:15,Real Sociedad,0 - 3
390,spain_laliga/2016-2017/2016-09-17 - 14-00 Leganes 1 - 5 Barcelona/,,Barcelona,17/09/2016 - 14:00,Leganes,1 - 5
391,spain_laliga/2016-2017/2016-10-02 - 21-45 Celta Vigo 4 - 3 Barcelona/,,Barcelona,02/10/2016 - 21:45,Celta Vigo,4 - 3
392,spain_laliga/2016-2017/2016-10-15 - 17-15 Barcelona 4 - 0 Dep. La Coruna/,,Dep. La Coruna,15/10/2016 - 17:15,Barcelona,4 - 0
393,spain_laliga/2016-2017/2017-01-07 - 15-00 Real Madrid 5 - 0 Granada CF/,,Granada CF,07/01/2017 - 15:00,Real Madrid,5 - 0
394,spain_laliga/2016-2017/2017-01-21 - 18-15 Real Madrid 2 - 1 Malaga/,,Malaga,21/01/2017 - 18:15,Real Madrid,2 - 1
395,spain_laliga/2016-2017/2017-02-18 - 18-15 Real Madrid 2 - 0 Espanyol/,,Espanyol,18/02/2017 - 18:15,Real Madrid,2 - 0
396,spain_laliga/2016-2017/2017-04-23 - 21-45 Real Madrid 2 - 3 Barcelona/,,Barcelona,23/04/2017 - 21:45,Real Madrid,2 - 3
397,spain_laliga/2016-2017/2017-04-29 - 17-15 Real Madrid 2 - 1 Valencia/,,Valencia,29/04/2017 - 17:15,Real Madrid,2 - 1
398,spain_laliga/2016-2017/2017-04-29 - 21-45 Espanyol 0 - 3 Barcelona/,,Barcelona,29/04/2017 - 21:45,Espanyol,0 - 3
399,spain_laliga/2016-2017/2017-05-14 - 21-00 Las Palmas 1 - 4 Barcelona/,,Barcelona,14/05/2017 - 21:00,Las Palmas,1 - 4
400,england_epl/2014-2015/2015-05-17 - 18-00 Manchester United 1 - 1 Arsenal/,,Arsenal,17/05/2015 - 18:00,Manchester United,1 - 1
401,england_epl/2015-2016/2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea/,,Chelsea,16/08/2015 - 18:00,Manchester City,3 - 0
402,england_epl/2015-2016/2015-08-23 - 15-30 West Brom 2 - 3 Chelsea/,,Chelsea,23/08/2015 - 15:30,West Brom,2 - 3
403,england_epl/2015-2016/2015-08-29 - 17-00 Liverpool 0 - 3 West Ham/,,West Ham,29/08/2015 - 17:00,Liverpool,0 - 3
404,england_epl/2015-2016/2015-09-20 - 18-00 Southampton 2 - 3 Manchester United/,,Manchester United,20/09/2015 - 18:00,Southampton,2 - 3
405,england_epl/2015-2016/2015-09-26 - 19-30 Newcastle Utd 2 - 2 Chelsea/,,Chelsea,26/09/2015 - 19:30,Newcastle Utd,2 - 2
406,england_epl/2015-2016/2015-10-03 - 19-30 Chelsea 1 - 3 Southampton/,,Southampton,03/10/2015 - 19:30,Chelsea,1 - 3
407,england_epl/2015-2016/2015-10-24 - 17-00 West Ham 2 - 1 Chelsea/,,Chelsea,24/10/2015 - 17:00,West Ham,2 - 1
408,england_epl/2015-2016/2015-11-07 - 20-30 Stoke City 1 - 0 Chelsea/,,Chelsea,07/11/2015 - 20:30,Stoke City,1 - 0
409,england_epl/2015-2016/2015-11-08 - 19-00 Arsenal 1 - 1 Tottenham/,,Tottenham,08/11/2015 - 19:00,Arsenal,1 - 1
410,england_epl/2015-2016/2015-12-28 - 20-30 Manchester United 0 - 0 Chelsea/,,Chelsea,28/12/2015 - 20:30,Manchester United,0 - 0
411,england_epl/2015-2016/2016-02-03 - 22-45 Watford 0 - 0 Chelsea/,,Chelsea,03/02/2016 - 22:45,Watford,0 - 0
412,england_epl/2015-2016/2016-03-01 - 22-45 Norwich 1 - 2 Chelsea/,,Chelsea,01/03/2016 - 22:45,Norwich,1 - 2
413,england_epl/2016-2017/2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool/,,Liverpool,27/08/2016 - 14:30,Tottenham,1 - 1
414,england_epl/2016-2017/2016-09-24 - 14-30 Manchester United 4 - 1 Leicester/,,Leicester,24/09/2016 - 14:30,Manchester United,4 - 1
415,england_epl/2016-2017/2016-10-15 - 14-30 Chelsea 3 - 0 Leicester/,,Leicester,15/10/2016 - 14:30,Chelsea,3 - 0
416,england_epl/2016-2017/2017-01-21 - 15-30 Liverpool 2 - 3 Swansea/,,Swansea,21/01/2017 - 15:30,Liverpool,2 - 3
418,europe_uefa-champions-league/2014-2015/2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen/,,Bayer Leverkusen,04/11/2014 - 20:00,Zenit Petersburg,1 - 2
419,europe_uefa-champions-league/2014-2015/2015-02-24 - 22-45 Manchester City 1 - 2 Barcelona/,,Barcelona,24/02/2015 - 22:45,Manchester City,1 - 2
420,europe_uefa-champions-league/2014-2015/2015-03-10 - 22-45 Real Madrid 3 - 4 Schalke/,,Schalke,10/03/2015 - 22:45,Real Madrid,3 - 4
421,europe_uefa-champions-league/2014-2015/2015-03-17 - 22-45 Monaco 0 - 2 Arsenal/,,Arsenal,17/03/2015 - 22:45,Monaco,0 - 2
422,europe_uefa-champions-league/2014-2015/2015-04-15 - 21-45 FC Porto 3 - 1 Bayern Munich/,,Bayern Munich,15/04/2015 - 21:45,FC Porto,3 - 1
423,europe_uefa-champions-league/2014-2015/2015-04-22 - 21-45 Real Madrid 1 - 0 Atl. Madrid/,,Atl. Madrid,22/04/2015 - 21:45,Real Madrid,1 - 0
424,europe_uefa-champions-league/2014-2015/2015-05-05 - 21-45 Juventus 2 - 1 Real Madrid/,,Real Madrid,05/05/2015 - 21:45,Juventus,2 - 1
425,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Bayern Munich 5 - 0 D. Zagreb/,,D. Zagreb,29/09/2015 - 21:45,Bayern Munich,5 - 0
426,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Real Madrid 1 - 0 Paris SG/,,Paris SG,03/11/2015 - 22:45,Real Madrid,1 - 0
427,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Sevilla 1 - 3 Manchester City/,,Manchester City,03/11/2015 - 22:45,Sevilla,1 - 3
428,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Shakhtar Donetsk 4 - 0 Malmo FF/,,Malmo FF,03/11/2015 - 22:45,Shakhtar Donetsk,4 - 0
429,europe_uefa-champions-league/2015-2016/2015-11-25 - 22-45 Shakhtar Donetsk 3 - 4 Real Madrid/,,Real Madrid,25/11/2015 - 22:45,Shakhtar Donetsk,3 - 4
430,europe_uefa-champions-league/2015-2016/2016-04-05 - 21-45 Bayern Munich 1 - 0 Benfica/,,Benfica,05/04/2016 - 21:45,Bayern Munich,1 - 0
431,europe_uefa-champions-league/2016-2017/2016-11-01 - 20-45 Besiktas 1 - 1 Napoli/,,Napoli,01/11/2016 - 20:45,Besiktas,1 - 1
432,europe_uefa-champions-league/2016-2017/2016-11-01 - 22-45 Manchester City 3 - 1 Barcelona/,,Barcelona,01/11/2016 - 22:45,Manchester City,3 - 1
433,europe_uefa-champions-league/2016-2017/2016-11-23 - 22-45 Arsenal 2 - 2 Paris SG/,,Paris SG,23/11/2016 - 22:45,Arsenal,2 - 2
434,europe_uefa-champions-league/2016-2017/2017-03-08 - 22-45 Barcelona 6 - 1 Paris SG/,,Paris SG,08/03/2017 - 22:45,Barcelona,6 - 1
435,europe_uefa-champions-league/2016-2017/2017-04-12 - 21-45 Bayern Munich 1 - 2 Real Madrid/,,Real Madrid,12/04/2017 - 21:45,Bayern Munich,1 - 2
437,france_ligue-1/2016-2017/2016-08-28 - 21-45 Monaco 3 - 1 Paris SG/,,Paris SG,28/08/2016 - 21:45,Monaco,3 - 1
439,germany_bundesliga/2014-2015/2015-05-09 - 16-30 Bayern Munich 0 - 1 FC Augsburg/,,FC Augsburg,09/05/2015 - 16:30,Bayern Munich,0 - 1
440,germany_bundesliga/2015-2016/2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen/,,Bayer Leverkusen,29/08/2015 - 19:30,Bayern Munich,3 - 0
441,germany_bundesliga/2015-2016/2015-09-12 - 16-30 Bayern Munich 2 - 1 FC Augsburg/,,FC Augsburg,12/09/2015 - 16:30,Bayern Munich,2 - 1
442,germany_bundesliga/2015-2016/2015-10-24 - 16-30 Bayern Munich 4 - 0 FC Koln/,,FC Koln,24/10/2015 - 16:30,Bayern Munich,4 - 0
443,germany_bundesliga/2015-2016/2015-11-08 - 17-30 Dortmund 3 - 2 Schalke/,,Schalke,08/11/2015 - 17:30,Dortmund,3 - 2
444,germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/,,Dortmund,10/09/2016 - 19:30,RB Leipzig,1 - 0
445,germany_bundesliga/2016-2017/2016-10-01 - 19-30 Bayer Leverkusen 2 - 0 Dortmund/,,Dortmund,01/10/2016 - 19:30,Bayer Leverkusen,2 - 0
446,germany_bundesliga/2016-2017/2016-11-05 - 17-30 Hamburger SV 2 - 5 Dortmund/,,Dortmund,05/11/2016 - 17:30,Hamburger SV,2 - 5
447,germany_bundesliga/2016-2017/2016-11-19 - 20-30 Dortmund 1 - 0 Bayern Munich/,,Bayern Munich,19/11/2016 - 20:30,Dortmund,1 - 0
448,germany_bundesliga/2016-2017/2016-12-16 - 22-30 Hoffenheim 2 - 2 Dortmund/,,Dortmund,16/12/2016 - 22:30,Hoffenheim,2 - 2
449,germany_bundesliga/2016-2017/2017-01-21 - 17-30 SV Werder Bremen 1 - 2 Dortmund/,,Dortmund,21/01/2017 - 17:30,SV Werder Bremen,1 - 2
450,germany_bundesliga/2016-2017/2017-01-29 - 19-30 1. FSV Mainz 05 1 - 1 Dortmund/,,Dortmund,29/01/2017 - 19:30,1. FSV Mainz 05,1 - 1
451,germany_bundesliga/2016-2017/2017-03-04 - 17-30 Dortmund 6 - 2 Bayer Leverkusen/,,Bayer Leverkusen,04/03/2017 - 17:30,Dortmund,6 - 2
453,italy_serie-a/2014-2015/2015-04-29 - 21-45 Juventus 3 - 2 Fiorentina/,,Fiorentina,29/04/2015 - 21:45,Juventus,3 - 2
454,italy_serie-a/2015-2016/2015-08-29 - 21-45 AC Milan 2 - 1 Empoli/,,Empoli,29/08/2015 - 21:45,AC Milan,2 - 1
455,italy_serie-a/2015-2016/2015-09-20 - 16-00 Genoa 0 - 2 Juventus/,,Juventus,20/09/2015 - 16:00,Genoa,0 - 2
456,italy_serie-a/2015-2016/2015-09-27 - 21-45 Inter 1 - 4 Fiorentina/,,Fiorentina,27/09/2015 - 21:45,Inter,1 - 4
457,italy_serie-a/2016-2017/2016-08-27 - 21-45 Napoli 4 - 2 AC Milan/,,AC Milan,27/08/2016 - 21:45,Napoli,4 - 2
458,italy_serie-a/2016-2017/2016-09-11 - 16-00 AC Milan 0 - 1 Udinese/,,Udinese,11/09/2016 - 16:00,AC Milan,0 - 1
459,italy_serie-a/2016-2017/2016-09-20 - 21-45 AC Milan 2 - 0 Lazio/,,Lazio,20/09/2016 - 21:45,AC Milan,2 - 0
460,italy_serie-a/2016-2017/2016-09-24 - 21-45 Napoli 2 - 0 Chievo/,,Chievo,24/09/2016 - 21:45,Napoli,2 - 0
461,italy_serie-a/2016-2017/2016-09-25 - 13-30 Torino 3 - 1 AS Roma/,,AS Roma,25/09/2016 - 13:30,Torino,3 - 1
462,italy_serie-a/2016-2017/2016-09-25 - 21-45 Fiorentina 0 - 0 AC Milan/,,AC Milan,25/09/2016 - 21:45,Fiorentina,0 - 0
463,italy_serie-a/2016-2017/2016-10-02 - 21-45 AS Roma 2 - 1 Inter/,,Inter,02/10/2016 - 21:45,AS Roma,2 - 1
464,italy_serie-a/2016-2017/2016-11-20 - 17-00 Atalanta 2 - 1 AS Roma/,,AS Roma,20/11/2016 - 17:00,Atalanta,2 - 1
465,italy_serie-a/2016-2017/2016-11-26 - 22-45 Empoli 1 - 4 AC Milan/,,AC Milan,26/11/2016 - 22:45,Empoli,1 - 4
466,italy_serie-a/2016-2017/2016-12-04 - 17-00 Lazio 0 - 2 AS Roma/,,AS Roma,04/12/2016 - 17:00,Lazio,0 - 2
467,italy_serie-a/2016-2017/2017-01-08 - 17-00 Genoa 0 - 1 AS Roma/,,AS Roma,08/01/2017 - 17:00,Genoa,0 - 1
468,italy_serie-a/2016-2017/2017-01-29 - 17-00 Sampdoria 3 - 2 AS Roma/,,AS Roma,29/01/2017 - 17:00,Sampdoria,3 - 2
469,italy_serie-a/2016-2017/2017-02-07 - 22-45 AS Roma 4 - 0 Fiorentina/,,Fiorentina,07/02/2017 - 22:45,AS Roma,4 - 0
470,italy_serie-a/2016-2017/2017-02-25 - 20-00 Napoli 0 - 2 Atalanta/,,Atalanta,25/02/2017 - 20:00,Napoli,0 - 2
471,italy_serie-a/2016-2017/2017-02-26 - 22-45 Inter 1 - 3 AS Roma/,,AS Roma,26/02/2017 - 22:45,Inter,1 - 3
472,italy_serie-a/2016-2017/2017-04-01 - 21-45 AS Roma 2 - 0 Empoli/,,Empoli,01/04/2017 - 21:45,AS Roma,2 - 0
473,italy_serie-a/2016-2017/2017-04-30 - 21-45 Inter 0 - 1 Napoli/,,Napoli,30/04/2017 - 21:45,Inter,0 - 1
475,spain_laliga/2014-2015/2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna/,,Dep. La Coruna,14/02/2015 - 20:00,Real Madrid,2 - 0
476,spain_laliga/2014-2015/2015-04-18 - 21-00 Real Madrid 3 - 1 Malaga/,,Malaga,18/04/2015 - 21:00,Real Madrid,3 - 1
477,spain_laliga/2014-2015/2015-04-25 - 17-00 Espanyol 0 - 2 Barcelona/,,Barcelona,25/04/2015 - 17:00,Espanyol,0 - 2
478,spain_laliga/2014-2015/2015-04-29 - 21-00 Real Madrid 3 - 0 Almeria/,,Almeria,29/04/2015 - 21:00,Real Madrid,3 - 0
479,spain_laliga/2014-2015/2015-05-02 - 17-00 Cordoba 0 - 8 Barcelona/,,Barcelona,02/05/2015 - 17:00,Cordoba,0 - 8
480,spain_laliga/2014-2015/2015-05-09 - 19-00 Barcelona 2 - 0 Real Sociedad/,,Real Sociedad,09/05/2015 - 19:00,Barcelona,2 - 0
481,spain_laliga/2015-2016/2015-08-29 - 23-30 Real Madrid 5 - 0 Betis/,,Betis,29/08/2015 - 23:30,Real Madrid,5 - 0
482,spain_laliga/2015-2016/2015-09-19 - 17-00 Real Madrid 1 - 0 Granada CF/,,Granada CF,19/09/2015 - 17:00,Real Madrid,1 - 0
484,spain_laliga/2015-2016/2015-12-05 - 18-00 Real Madrid 4 - 1 Getafe/,,Getafe,05/12/2015 - 18:00,Real Madrid,4 - 1
485,spain_laliga/2015-2016/2015-12-30 - 18-00 Real Madrid 3 - 1 Real Sociedad/,,Real Sociedad,30/12/2015 - 18:00,Real Madrid,3 - 1
486,spain_laliga/2015-2016/2016-02-27 - 18-00 Real Madrid 0 - 1 Atl. Madrid/,,Atl. Madrid,27/02/2016 - 18:00,Real Madrid,0 - 1
487,spain_laliga/2015-2016/2016-03-02 - 23-00 Levante 1 - 3 Real Madrid/,,Real Madrid,02/03/2016 - 23:00,Levante,1 - 3
488,spain_laliga/2015-2016/2016-05-08 - 18-00 Real Madrid 3 - 2 Valencia/,,Valencia,08/05/2016 - 18:00,Real Madrid,3 - 2
489,spain_laliga/2015-2016/2016-05-14 - 18-00 Dep. La Coruna 0 - 2 Real Madrid/,,Real Madrid,14/05/2016 - 18:00,Dep. La Coruna,0 - 2
490,spain_laliga/2016-2017/2016-09-10 - 21-30 Barcelona 1 - 2 Alaves/,,Alaves,10/09/2016 - 21:30,Barcelona,1 - 2
491,spain_laliga/2016-2017/2016-09-21 - 21-00 Real Madrid 1 - 1 Villarreal/,,Villarreal,21/09/2016 - 21:00,Real Madrid,1 - 1
492,spain_laliga/2016-2017/2016-09-24 - 21-45 Las Palmas 2 - 2 Real Madrid/,,Real Madrid,24/09/2016 - 21:45,Las Palmas,2 - 2
493,spain_laliga/2016-2017/2016-11-26 - 18-15 Real Madrid 2 - 1 Gijon/,,Gijon,26/11/2016 - 18:15,Real Madrid,2 - 1
494,spain_laliga/2016-2017/2016-12-18 - 22-45 Barcelona 4 - 1 Espanyol/,,Espanyol,18/12/2016 - 22:45,Barcelona,4 - 1
495,spain_laliga/2016-2017/2017-02-11 - 22-45 Osasuna 1 - 3 Real Madrid/,,Real Madrid,11/02/2017 - 22:45,Osasuna,1 - 3
496,spain_laliga/2016-2017/2017-03-12 - 22-45 Real Madrid 2 - 1 Betis/,,Betis,12/03/2017 - 22:45,Real Madrid,2 - 1
497,spain_laliga/2016-2017/2017-04-02 - 17-15 Real Madrid 3 - 0 Alaves/,,Alaves,02/04/2017 - 17:15,Real Madrid,3 - 0
498,spain_laliga/2016-2017/2017-04-08 - 21-45 Malaga 2 - 0 Barcelona/,,Barcelona,08/04/2017 - 21:45,Malaga,2 - 0
